k_paths,simulation,accuracy,total_samples,correct_samples,exec_samples,exec_correct,exec_rate,exec_acc,hit_samples,hit_rate,pruning_mode
11,7,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
11,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
11,9,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
12,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
12,1,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
12,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
12,3,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
12,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
12,5,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
12,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
12,7,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
12,8,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
12,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
13,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
13,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
13,3,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,4,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,5,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
13,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,7,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,8,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
13,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
14,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,1,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,2,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,3,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
14,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
14,5,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,7,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
14,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
14,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,2,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
15,3,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,5,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
15,7,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
15,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
15,9,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
